"tripdata_2$member_casual","tripdata_2$month","tripdata_2$ride_length"
"1","casual","December",1611.1375608455
"2","member","December",764.999268319211
"3","casual","January",1541.07539879671
"4","member","January",772.37795225572
"5","casual","February",2962.68617966436
"6","member","February",1081.40723764182
"7","casual","March",2289.66013709716
"8","member","March",838.237940964723
"9","casual","April",2281.56311589428
"10","member","April",881.449317554162
"11","casual","May",2294.10799648096
"12","member","May",878.417738477052
"13","casual","June",2227.55684013426
"14","member","June",880.719537578052
"15","casual","July",1967.61069973372
"16","member","July",854.442288932654
"17","casual","August",1727.44686482085
"18","member","August",846.14548165776
"19","casual","September",1669.12912818821
"20","member","September",824.194604793473
"21","casual","October",1720.69902372834
"22","member","October",750.186309509484
"23","casual","November",1388.12868156132
"24","member","November",678.607012426485
